rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
1.46949,-0.295816,-1.67841,0.130132,0.382277,-0.202414
1.41438,-0.970554,-2.10269,0.247508,0.157758,0.025879
0.22534,-1.18142,-2.25001,-0.0144364,-0.0806711,0.216727
0.69163,-0.665848,-1.65114,0.0649449,-0.197252,0.323801
-0.397729,-0.143896,-0.519639,0.215229,-0.331022,0.379381
-0.761256,0.913148,1.49151,0.23245,-0.280079,0.0575349
-1.06296,1.26293,2.85786,0.0713995,-0.180217,0.070843
-1.28573,0.227659,2.04638,-0.0231584,0.125193,-0.138361
-1.39067,-0.0794305,1.09599,-0.0618174,0.218585,0.00331366
-0.325202,-0.00548379,1.08347,-0.206673,0.468802,-0.110181
0.830093,0.117261,-0.305184,0.343712,0.569119,-0.0599473
1.33444,0.0487192,-2.01985,0.0369598,0.351657,-0.0894324
2.19532,-0.58636,-1.97084,0.235766,0.148192,0.0429587
0.617711,-0.945156,-2.58343,-0.00613606,-0.169939,0.232728
0.803535,-0.763739,-1.99413,0.0927315,-0.253677,0.32373
0.0971999,0.192942,-0.104346,0.401934,-0.347843,0.317294
-0.849752,0.934115,1.83615,0.27219,-0.310586,0.196539
-0.320129,1.42628,2.51555,0.122293,-0.137905,-0.0471143
-1.46649,0.478585,1.90945,-0.0507616,0.0131913,-0.0211291
-0.751729,0.287253,1.53728,-0.0725173,0.340163,-0.174892
-0.364429,0.123524,0.926498,-0.0645533,0.380885,-0.251467
0.644205,-0.0571426,-0.549424,0.404445,0.5011,-0.193666
1.60814,-0.22143,-1.84078,-0.0255541,0.384396,-0.0917419
1.18756,-1.29,-2.22861,0.16527,0.0752147,0.11969
0.146025,-1.09561,-2.69214,0.116817,-0.131718,0.294103
0.106324,-0.810001,-1.87357,0.132229,-0.335244,0.333216
0.0254262,0.292522,0.000517169,0.438143,-0.407447,0.284444
-0.470781,1.53232,2.61473,0.281776,-0.30175,0.112033
-0.427509,1.20993,2.75267,0.259723,-0.141319,-0.145348
-1.58775,0.311188,1.42394,-0.0979301,0.0330209,-0.0194134
-0.629493,0.0318125,1.51054,-0.108445,0.392363,-0.244747
-0.237031,-0.00166792,0.860474,0.0765326,0.460612,-0.147921
-0.071121,-0.569992,-0.921664,0.333712,0.402767,-0.136581
1.85992,-0.43331,-1.94637,0.165894,0.370342,0.0248784
1.36442,-1.12521,-2.60191,0.0447253,-0.0164349,0.114346
0.684669,-1.05922,-2.42324,0.115658,-0.154342,0.238202
0.423026,-0.583878,-1.31826,0.114034,-0.328258,0.321323
-0.00848482,0.414981,0.376759,0.414071,-0.368333,0.266519
-0.906366,1.22493,1.96441,0.184245,-0.273361,0.180746
-1.12022,0.794012,2.23351,0.156614,-0.157294,-0.0387485
-1.34049,0.571177,1.76829,0.035697,0.0439923,-0.0685908
-0.291945,0.380296,1.7991,-0.123437,0.310333,-0.263189
0.0518919,-0.0219961,0.356312,0.13704,0.468427,-0.173773
-0.0356678,-0.67202,-1.22004,0.221533,0.327617,-0.18225
1.39375,-0.68882,-1.65691,0.297701,0.280958,0.0304062
0.680483,-1.13823,-2.40351,0.0382618,-0.0451551,0.166236
0.579084,-0.781484,-2.46497,0.0842666,-0.164776,0.265447
0.31249,-0.347365,-1.11506,0.0733525,-0.334675,0.316301
-0.316152,0.896844,0.912049,0.349706,-0.326111,0.226893
-0.0718463,1.97934,2.46908,-0.0662392,-0.176442,0.0653147
-0.338773,0.857317,2.1217,0.0578264,0.0545554,-0.149136
-1.07351,0.194844,0.477839,-0.0687125,0.0565801,-0.0521384
-0.189698,-0.0467421,0.76158,-0.268499,0.342964,-0.243653
-0.578517,0.232159,0.0392486,0.374893,0.416847,-0.109722
-0.647599,0.0591505,-2.40984,-0.0939289,0.454137,-0.0182429
3.48534,0.025627,-2.07789,0.103717,0.148082,0.106162
0.575657,-0.153363,-1.84722,-0.137002,-0.0800453,0.152161
0.778839,-0.383509,-0.812846,-0.0481493,-0.433697,0.319768
-1.07522,0.666331,1.93107,0.219477,-0.035887,0.23911
2.33866,1.0105,0.473572,0.634702,-0.506455,0.0497096
-2.97969,-0.351301,0.707163,0.211044,-0.518869,0.0103088
-2.12062,-1.01877,1.16773,-0.101942,-0.0806647,0.038834
1.65063,-0.230355,2.23557,-0.0143701,0.355705,-0.00936896
-0.496932,0.0625014,1.40293,0.150033,0.804682,0.100262
-0.0922916,0.0835259,-1.66962,0.267256,0.495452,0.068535
2.72637,0.591097,-2.18376,0.191416,0.468748,0.10805
3.3099,-0.040662,-2.18816,-0.0584834,-0.0231427,0.140985
0.745149,-0.578994,-1.43995,0.23933,-0.314759,0.328701
-1.84476,-0.546542,-0.495735,0.415783,-0.351698,0.408257
0.454399,0.719778,0.781457,0.140694,-0.184728,0.132863
0.344258,0.458389,0.917365,-0.132703,-0.311657,0.0887778
-1.2036,0.502553,1.6795,-0.109906,-0.00272948,-0.0781507
-0.794452,0.612695,1.31277,-0.00654763,0.363512,-0.139394
0.115688,0.183558,-0.5754,0.13089,0.367211,-0.21113
-0.109675,-0.347735,-1.50876,0.121194,0.153007,0.031601
