rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.16607,-0.335512,0.0555087,-0.0401318,-0.0606143,0.0200076
-0.0375713,-0.058868,0.149846,-0.0390307,-0.0852541,0.0427844
-1.3733,0.896827,0.59739,-0.0998935,-0.190158,0.234417
-1.38888,1.84087,1.16911,0.0197715,-0.0277934,0.118953
-0.707698,1.74778,1.08269,0.0508343,-0.0430834,0.228632
-0.943425,1.56167,1.09948,0.0894871,0.0139607,0.0251768
-1.00329,1.47332,1.24879,0.0723467,-0.0623966,-0.00991392
-3.00773,0.684101,0.457013,0.207124,0.00689957,-0.273088
0.687532,-0.188245,0.313441,0.0406101,0.1237,-0.0250546
0.965098,0.206414,0.515347,-0.058324,0.00911689,0.00299299
0.128208,0.196415,0.404159,-0.0199277,0.0851576,0.0281984
-0.0956437,0.0370381,-0.0971742,-0.00747645,0.104615,0.0100428
-0.0717,-0.084291,-0.203842,-0.00984132,-0.0316694,-0.0324036
0.0310121,-0.0907913,-0.097755,0.00164968,-0.0491621,-0.0146366
0.0393618,-0.0482234,-0.0730736,-0.0102271,-0.0625401,0.0424019
-0.528651,-0.0913748,-0.351426,0.0213717,0.0610115,-0.0185381
0.0570511,0.0507436,-0.0162239,-0.0259145,-0.0486802,-0.0229429
-0.0619657,0.0476148,0.093792,-0.00859344,-0.0555714,-0.00137484
0.0734518,-0.042934,-0.0245045,-0.0139938,-0.0051432,0.0260732
-0.0185479,0.00715933,-0.0213178,-0.0194334,-0.0301532,0.0189615
-0.0586292,0.0029347,-0.0142657,-0.00437236,-0.0294634,0.00341368
-0.00678856,-0.00349942,-0.00725707,-0.00966942,-0.0216464,0.00735295
-0.0295117,-0.0088055,-0.00536782,-0.013934,-0.0235072,0.00836676
-0.0651429,-0.0151593,-0.010041,-0.00523418,-0.0273513,0.00804031
-0.0868275,-0.0108887,-0.00493969,-0.0140836,-0.028599,0.00493526
-0.0881479,0.00507133,0.0164408,-0.00919366,-0.0191473,0.00118148
-0.0469425,-0.000282995,0.00620024,-0.0109068,-0.0200527,-0.00334144
-0.0111915,-0.00455948,0.000193036,-0.0159167,-0.0180339,0.00174695
0.0125585,-0.000321836,0.00366772,-0.0110665,-0.0211069,-0.000852227
0.0125425,0.00393822,0.00473717,-0.0139166,-0.0237743,0.00466204
0.0137067,-0.0120277,-0.00165775,-0.00761205,-0.0245063,0.0073998
-0.0284719,-0.00135399,-0.00214891,-0.0123939,-0.0326428,0.0121701
-0.0177447,0.0050254,0.00546446,-0.00962257,-0.0198268,0.00590169
-0.0242437,0.00503116,0.00646311,-0.0126905,-0.0278924,0.00469649
0.00586945,-0.010968,0.0239445,-0.00180417,-0.0146314,-0.00120282
0.0881197,-0.0770188,0.0238792,-0.00505757,-0.0170749,-0.0126374
-0.0349408,-0.0418013,-4.3097e-05,-0.0222813,-0.0465267,0.0403754
-0.180997,0.0338892,-0.000694542,-0.0204484,-0.0344457,0.00822544
-0.1055,-0.00982061,0.0226824,-0.000727534,0.00135151,-0.0221555
